Soil_Color,Crop,Pest,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Fertilizer,Pesticide
2,2,0,16,66,74,NPK,Insecticides
2,4,1,3,7,15,Urea,Herbicides
4,3,0,35,75,33,Organic,Insecticides
0,3,2,27,64,36,Urea,Fungicides
2,0,1,33,73,35,Compost,Herbicides
3,0,1,61,15,11,Organic,Herbicides
3,3,1,45,85,22,Urea,Herbicides
0,2,1,74,8,70,Organic,Herbicides
3,2,1,16,76,50,Urea,Herbicides
3,1,0,80,44,3,Urea,Insecticides
2,2,1,66,26,1,NPK,Herbicides
4,4,1,74,6,98,Organic,Herbicides
1,1,0,52,48,77,Urea,Insecticides
2,0,2,17,66,41,Compost,Fungicides
1,0,1,40,54,23,Organic,Herbicides
3,4,0,92,31,27,Compost,Insecticides
2,3,2,5,38,43,Urea,Fungicides
1,2,2,82,66,72,Compost,Fungicides
2,4,2,81,30,3,NPK,Fungicides
3,0,1,56,67,22,Urea,Herbicides
2,2,1,43,26,6,Urea,Herbicides
4,3,1,23,24,72,Organic,Herbicides
1,2,2,96,86,29,Urea,Fungicides
2,3,2,87,89,96,NPK,Fungicides
3,4,0,4,57,58,Organic,Insecticides
2,3,1,34,70,29,NPK,Herbicides
2,0,0,7,62,52,Urea,Insecticides
0,4,0,50,16,3,NPK,Insecticides
1,3,1,84,24,39,NPK,Herbicides
2,4,1,53,58,80,Compost,Herbicides
1,4,0,8,62,35,NPK,Insecticides
3,1,0,19,39,10,Organic,Insecticides
4,2,2,55,2,65,Urea,Fungicides
2,0,0,2,51,95,Organic,Insecticides
0,1,0,12,72,37,Organic,Insecticides
2,2,0,40,20,43,Organic,Insecticides
3,2,1,34,96,15,Organic,Herbicides
1,3,0,15,55,21,Compost,Insecticides
2,0,2,64,77,9,Urea,Fungicides
1,2,1,51,74,87,NPK,Herbicides
1,3,1,71,11,26,Organic,Herbicides
0,0,1,26,81,87,Organic,Herbicides
2,3,2,61,36,92,Urea,Fungicides
3,4,2,37,72,35,Organic,Fungicides
1,1,0,53,50,93,Urea,Insecticides
2,1,0,54,71,56,Compost,Insecticides
0,2,2,85,5,60,NPK,Fungicides
3,2,2,60,73,19,NPK,Fungicides
2,2,0,24,70,20,Urea,Insecticides
0,2,1,33,14,86,Compost,Herbicides
3,2,1,11,10,77,Urea,Herbicides
2,3,1,19,6,33,Organic,Herbicides
2,4,1,3,56,95,Urea,Herbicides
0,0,0,50,33,69,Organic,Insecticides
3,2,0,42,92,97,NPK,Insecticides
2,4,2,77,47,4,Organic,Fungicides
1,4,1,25,71,28,NPK,Herbicides
1,2,2,26,34,71,Urea,Fungicides
3,0,2,59,30,41,NPK,Fungicides
1,0,0,13,75,9,Compost,Insecticides
0,1,1,21,12,4,Organic,Herbicides
0,0,1,17,84,44,Urea,Herbicides
2,1,1,75,1,19,Compost,Herbicides
0,2,2,76,0,81,Urea,Fungicides
4,2,2,48,22,79,NPK,Fungicides
2,1,0,30,75,78,Compost,Insecticides
3,2,0,1,42,70,NPK,Insecticides
4,0,0,35,87,83,Urea,Insecticides
3,0,2,17,50,17,NPK,Fungicides
2,4,2,26,45,58,NPK,Fungicides
0,0,0,11,58,66,NPK,Insecticides
1,1,2,53,85,4,Compost,Fungicides
3,3,2,61,42,72,Urea,Fungicides
1,1,2,12,59,22,Compost,Fungicides
0,1,2,56,43,12,NPK,Fungicides
4,2,0,15,38,5,Urea,Insecticides
0,3,0,73,47,48,Urea,Insecticides
2,2,1,10,11,96,NPK,Herbicides
0,2,2,5,3,63,NPK,Fungicides
2,2,0,22,63,2,Organic,Insecticides
1,4,2,11,63,86,Urea,Fungicides
4,3,2,25,26,16,Organic,Fungicides
2,1,1,78,16,31,NPK,Herbicides
0,3,1,25,63,75,Organic,Herbicides
1,1,1,93,23,84,NPK,Herbicides
2,2,1,9,29,82,Compost,Herbicides
1,0,0,67,60,3,NPK,Insecticides
0,0,0,8,86,16,Urea,Insecticides
2,3,1,42,60,20,NPK,Herbicides
3,2,2,88,91,0,Compost,Fungicides
3,2,1,27,85,98,Compost,Herbicides
1,4,0,93,7,60,NPK,Insecticides
0,4,1,13,74,41,NPK,Herbicides
0,2,2,79,43,90,Urea,Fungicides
0,3,0,0,58,33,Organic,Insecticides
1,3,2,57,94,45,Urea,Fungicides
3,0,2,11,17,53,Urea,Fungicides
0,0,2,26,43,49,Urea,Fungicides
0,1,0,67,31,99,NPK,Insecticides
3,3,2,9,56,13,NPK,Fungicides
1,4,0,1,52,88,Compost,Insecticides
2,2,2,91,69,84,Compost,Fungicides
3,0,1,41,97,26,Compost,Herbicides
0,3,2,40,13,78,NPK,Fungicides
0,4,2,9,42,85,Organic,Fungicides
2,3,0,5,51,6,Urea,Insecticides
3,2,0,71,66,61,NPK,Insecticides
1,1,1,20,77,82,Compost,Herbicides
2,0,2,69,42,7,Organic,Fungicides
3,4,0,80,76,83,Compost,Insecticides
0,4,1,18,12,28,Organic,Herbicides
4,0,0,26,7,43,NPK,Insecticides
0,2,1,43,32,30,Urea,Herbicides
2,3,2,76,65,36,NPK,Fungicides
2,4,2,12,38,62,Urea,Fungicides
0,4,2,15,85,9,NPK,Fungicides
3,4,0,22,91,57,Organic,Insecticides
2,3,2,53,9,59,Urea,Fungicides
1,3,2,92,60,77,NPK,Fungicides
3,4,2,54,27,34,Compost,Fungicides
0,1,1,76,97,28,Organic,Herbicides
4,3,1,4,41,99,Compost,Herbicides
3,2,1,4,61,96,Organic,Herbicides
2,2,0,74,50,15,Urea,Insecticides
1,1,2,44,6,48,Compost,Fungicides
4,2,1,12,36,68,Urea,Herbicides
4,0,1,40,45,20,NPK,Herbicides
2,1,2,86,63,62,Compost,Fungicides
0,2,2,0,13,36,Organic,Fungicides
3,2,2,60,98,37,Urea,Fungicides
3,0,2,97,82,79,Urea,Fungicides
0,4,0,37,9,50,Organic,Insecticides
1,1,0,74,57,43,Urea,Insecticides
1,3,1,28,77,68,Organic,Herbicides
1,2,1,47,86,24,Organic,Herbicides
2,2,0,11,9,28,Compost,Insecticides
4,1,0,8,25,81,Organic,Insecticides
3,1,0,62,97,27,Organic,Insecticides
3,2,1,74,42,57,NPK,Herbicides
0,1,1,42,67,25,Urea,Herbicides
1,1,0,26,78,26,NPK,Insecticides
2,3,0,35,28,77,Organic,Insecticides
3,2,2,58,38,92,Compost,Fungicides
4,1,0,16,65,44,Organic,Insecticides
0,4,0,83,38,70,Compost,Insecticides
4,1,1,16,5,82,Organic,Herbicides
3,0,2,31,98,80,Organic,Fungicides
0,0,0,15,13,85,Urea,Insecticides
2,3,2,27,97,56,Urea,Fungicides
2,4,1,3,60,98,Urea,Herbicides
3,1,1,61,9,2,Urea,Herbicides
2,0,1,12,53,51,Urea,Herbicides
4,2,1,65,69,99,Organic,Herbicides
4,4,0,17,98,73,NPK,Insecticides
0,2,0,52,42,3,Organic,Insecticides
0,4,2,76,22,76,Urea,Fungicides
1,2,1,32,84,96,Urea,Herbicides
3,3,0,95,40,18,Organic,Insecticides
1,3,2,43,20,93,Urea,Fungicides
4,3,1,32,48,61,Compost,Herbicides
0,2,2,73,67,19,Urea,Fungicides
2,1,1,68,38,82,NPK,Herbicides
0,2,1,64,98,62,Urea,Herbicides
0,3,1,17,59,34,Urea,Herbicides
1,4,2,0,65,51,Organic,Fungicides
4,0,1,96,26,8,Compost,Herbicides
2,1,0,95,1,10,NPK,Insecticides
0,4,0,42,91,79,Urea,Insecticides
4,2,0,31,22,35,Urea,Insecticides
4,3,1,2,8,98,Compost,Herbicides
1,2,2,16,40,34,NPK,Fungicides
1,0,0,11,86,18,Compost,Insecticides
3,1,1,81,7,21,Urea,Herbicides
2,1,0,25,81,69,NPK,Insecticides
1,2,2,9,86,74,Urea,Fungicides
2,2,1,86,45,80,NPK,Herbicides
4,0,2,94,56,16,Organic,Fungicides
2,3,0,70,11,22,Compost,Insecticides
2,3,1,1,16,12,Organic,Herbicides
4,1,2,44,48,84,Urea,Fungicides
0,1,2,94,19,8,Organic,Fungicides
3,2,0,91,3,61,NPK,Insecticides
4,1,0,1,61,86,Compost,Insecticides
4,0,2,67,37,24,Compost,Fungicides
1,1,1,86,91,8,Compost,Herbicides
2,0,0,71,91,6,Urea,Insecticides
1,2,1,45,36,41,NPK,Herbicides
0,0,2,28,42,94,NPK,Fungicides
0,1,0,63,45,88,Organic,Insecticides
2,4,2,94,19,7,Urea,Fungicides
1,2,1,30,24,4,NPK,Herbicides
2,2,2,35,58,27,Urea,Fungicides
3,3,2,23,6,77,NPK,Fungicides
3,1,2,45,90,14,NPK,Fungicides
1,4,0,69,68,12,Organic,Insecticides
0,4,2,11,43,19,Urea,Fungicides
1,0,0,73,19,50,Organic,Insecticides
4,0,0,61,78,33,Urea,Insecticides
1,0,1,11,16,22,Compost,Herbicides
2,1,1,73,94,44,Urea,Herbicides
4,2,0,67,93,25,Compost,Insecticides
4,2,2,62,10,58,Compost,Fungicides
2,3,1,7,14,61,NPK,Herbicides
3,0,1,21,78,95,Compost,Herbicides
2,2,1,71,68,93,Compost,Herbicides
2,1,2,97,68,90,Organic,Fungicides
2,2,1,82,42,68,Urea,Herbicides
0,4,1,59,51,11,NPK,Herbicides
3,0,1,4,59,56,Organic,Herbicides
4,2,0,72,53,45,Organic,Insecticides
2,4,2,16,20,39,Organic,Fungicides
2,0,1,15,23,56,Organic,Herbicides
2,1,0,4,81,55,Urea,Insecticides
0,1,2,90,71,11,NPK,Fungicides
2,0,2,75,40,98,Urea,Fungicides
3,3,1,75,80,56,NPK,Herbicides
1,4,1,79,81,91,Organic,Herbicides
4,2,2,21,48,74,Organic,Fungicides
2,0,1,98,16,1,NPK,Herbicides
2,2,1,0,73,53,Compost,Herbicides
1,2,2,89,34,72,Compost,Fungicides
4,3,0,59,72,45,Urea,Insecticides
0,1,0,43,55,18,Urea,Insecticides
3,2,1,18,96,88,Organic,Herbicides
4,2,0,83,35,80,Organic,Insecticides
2,1,0,11,94,21,NPK,Insecticides
1,1,0,93,1,72,Urea,Insecticides
2,3,2,55,64,51,Compost,Fungicides
1,0,0,36,91,68,Organic,Insecticides
0,0,2,99,76,77,NPK,Fungicides
2,4,2,86,48,3,Compost,Fungicides
1,3,1,90,22,71,Organic,Herbicides
4,4,2,53,52,29,Compost,Fungicides
2,3,1,55,52,19,Organic,Herbicides
1,3,1,73,49,95,NPK,Herbicides
0,1,2,95,10,2,Organic,Fungicides
2,4,0,56,17,67,Urea,Insecticides
4,1,0,26,95,25,Urea,Insecticides
0,3,2,45,93,72,Organic,Fungicides
1,1,2,31,28,39,NPK,Fungicides
0,1,0,34,20,16,Urea,Insecticides
1,2,1,45,34,77,Compost,Herbicides
3,0,1,31,99,78,Compost,Herbicides
0,1,0,63,54,74,Urea,Insecticides
4,3,2,47,89,75,Compost,Fungicides
2,3,0,57,36,2,NPK,Insecticides
0,2,0,64,22,99,NPK,Insecticides
1,1,2,43,42,46,Urea,Fungicides
4,0,0,21,23,32,Organic,Insecticides
0,4,1,41,14,94,Compost,Herbicides
0,3,1,68,63,55,Urea,Herbicides
1,4,0,3,90,59,Urea,Insecticides
0,2,2,24,10,80,Urea,Fungicides
0,4,1,32,82,10,NPK,Herbicides
3,3,2,45,15,0,Urea,Fungicides
3,0,1,5,72,26,Urea,Herbicides
3,0,2,56,76,62,Urea,Fungicides
2,3,1,40,31,72,Urea,Herbicides
4,0,0,86,66,5,Urea,Insecticides
3,0,2,86,71,33,Organic,Fungicides
3,3,1,65,62,75,Compost,Herbicides
2,1,1,19,21,22,Urea,Herbicides
4,1,2,13,95,98,Organic,Fungicides
0,3,1,90,26,59,Urea,Herbicides
0,3,2,13,54,75,Compost,Fungicides
2,4,2,23,76,7,Organic,Fungicides
0,4,2,62,95,42,Organic,Fungicides
1,1,2,63,20,5,NPK,Fungicides
3,2,0,17,97,83,Compost,Insecticides
4,1,2,78,32,85,Organic,Fungicides
2,2,0,21,27,70,Urea,Insecticides
4,0,2,63,9,5,NPK,Fungicides
2,4,1,1,32,54,Urea,Herbicides
0,0,2,44,72,5,Compost,Fungicides
4,4,0,92,63,61,NPK,Insecticides
3,2,0,41,55,62,NPK,Insecticides
2,2,1,6,34,94,NPK,Herbicides
0,2,2,92,6,21,NPK,Fungicides
2,3,0,94,55,40,NPK,Insecticides
0,4,2,2,38,51,NPK,Fungicides
4,0,0,68,13,20,Compost,Insecticides
4,1,1,43,66,97,Compost,Herbicides
2,0,0,10,10,27,NPK,Insecticides
0,4,1,91,43,45,Compost,Herbicides
1,2,2,85,15,3,Organic,Fungicides
2,1,0,83,94,38,Compost,Insecticides
0,4,0,51,80,38,Organic,Insecticides
0,0,0,47,0,18,Organic,Insecticides
4,4,1,33,99,7,Urea,Herbicides
1,1,1,42,5,86,Compost,Herbicides
0,2,0,20,3,33,Urea,Insecticides
3,0,2,97,54,76,NPK,Fungicides
0,4,0,9,77,92,Compost,Insecticides
2,2,0,39,67,79,NPK,Insecticides
2,4,0,73,43,79,NPK,Insecticides
1,3,2,97,93,96,Compost,Fungicides
1,0,1,15,98,20,Urea,Herbicides
3,2,2,78,59,7,NPK,Fungicides
3,3,2,31,14,21,Organic,Fungicides
4,2,1,28,46,53,Compost,Herbicides
4,0,0,84,85,62,Urea,Insecticides
4,3,1,95,47,54,NPK,Herbicides
2,1,0,53,92,84,NPK,Insecticides
2,0,1,46,72,69,NPK,Herbicides
2,1,2,94,3,23,Organic,Fungicides
0,2,2,82,43,46,Urea,Fungicides
3,1,1,49,16,28,NPK,Herbicides
1,2,1,31,47,97,NPK,Herbicides
2,3,0,62,52,75,Urea,Insecticides
0,0,0,91,15,39,Compost,Insecticides
3,1,0,82,50,17,Compost,Insecticides
3,4,2,74,65,97,NPK,Fungicides
4,2,0,18,70,78,Urea,Insecticides
1,4,0,93,71,59,NPK,Insecticides
3,2,2,22,25,77,NPK,Fungicides
3,0,2,5,9,16,Organic,Fungicides
1,3,1,50,78,78,Organic,Herbicides
0,2,1,1,89,86,NPK,Herbicides
0,3,1,40,9,65,Urea,Herbicides
2,3,0,80,57,71,Organic,Insecticides
4,1,2,30,21,26,Compost,Fungicides
0,3,2,10,64,39,Organic,Fungicides
1,2,1,1,25,29,Compost,Herbicides
1,0,2,86,50,39,Organic,Fungicides
2,0,0,16,96,65,Organic,Insecticides
3,3,0,34,79,60,Organic,Insecticides
1,3,0,95,44,74,Compost,Insecticides
4,4,1,36,8,34,NPK,Herbicides
3,2,2,64,62,82,Urea,Fungicides
1,0,1,94,5,10,Compost,Herbicides
1,2,2,87,56,71,Compost,Fungicides
0,2,1,9,90,75,Compost,Herbicides
0,3,0,34,56,0,NPK,Insecticides
2,0,0,49,12,90,Organic,Insecticides
0,1,1,7,94,66,Compost,Herbicides
2,2,1,42,21,57,Organic,Herbicides
1,0,1,77,98,37,Compost,Herbicides
2,1,1,56,43,19,Compost,Herbicides
0,1,1,55,51,64,Urea,Herbicides
1,0,2,97,18,76,Urea,Fungicides
3,4,2,28,88,55,Urea,Fungicides
4,3,1,56,40,84,NPK,Herbicides
2,4,0,40,67,50,Organic,Insecticides
3,3,0,84,67,58,NPK,Insecticides
3,2,2,40,82,70,Compost,Fungicides
4,4,1,79,16,71,Organic,Herbicides
1,0,0,24,52,5,Compost,Insecticides
1,0,1,29,65,80,NPK,Herbicides
3,2,0,10,11,72,NPK,Insecticides
0,1,2,78,85,86,Compost,Fungicides
2,0,0,61,57,13,Urea,Insecticides
1,3,0,57,68,24,NPK,Insecticides
1,4,1,80,13,9,NPK,Herbicides
0,2,1,50,64,48,Urea,Herbicides
1,3,0,46,27,63,NPK,Insecticides
0,3,2,81,28,35,Organic,Fungicides
3,1,1,8,47,72,Organic,Herbicides
1,2,0,9,2,92,Compost,Insecticides
0,4,1,32,7,86,Urea,Herbicides
2,4,1,72,19,13,Urea,Herbicides
3,4,0,50,30,74,Compost,Insecticides
4,2,2,94,95,16,NPK,Fungicides
2,3,0,78,53,47,Organic,Insecticides
1,1,0,45,26,94,NPK,Insecticides
0,1,2,64,29,85,Compost,Fungicides
4,1,1,58,86,74,NPK,Herbicides
4,2,2,80,80,53,Compost,Fungicides
1,3,0,33,5,52,NPK,Insecticides
0,1,0,35,58,95,NPK,Insecticides
2,3,1,17,92,52,Urea,Herbicides
1,2,0,47,41,25,NPK,Insecticides
4,3,0,0,38,15,Organic,Insecticides
1,2,2,75,67,85,Organic,Fungicides
2,2,1,88,38,21,NPK,Herbicides
3,4,1,31,9,1,NPK,Herbicides
4,1,1,98,16,74,NPK,Herbicides
0,3,0,89,95,36,Organic,Insecticides
2,4,2,63,47,52,Organic,Fungicides
3,1,2,86,40,48,Urea,Fungicides
1,1,0,22,38,63,Urea,Insecticides
4,3,0,86,3,0,Organic,Insecticides
2,1,1,61,29,68,NPK,Herbicides
3,4,1,52,15,22,NPK,Herbicides
3,2,0,30,4,85,Organic,Insecticides
0,3,2,67,64,65,Organic,Fungicides
0,1,1,95,64,40,Compost,Herbicides
0,0,0,49,62,70,Organic,Insecticides
1,1,1,32,54,39,Compost,Herbicides
3,2,0,94,78,79,Compost,Insecticides
4,4,0,28,91,72,NPK,Insecticides
4,4,2,31,17,82,NPK,Fungicides
0,3,2,78,26,78,Urea,Fungicides
1,3,0,59,87,25,Urea,Insecticides
0,0,0,65,32,52,Urea,Insecticides
2,0,0,71,75,48,Compost,Insecticides
3,1,1,68,6,59,Urea,Herbicides
3,4,1,36,59,79,Organic,Herbicides
0,2,2,59,63,38,NPK,Fungicides
3,1,0,63,92,96,Organic,Insecticides
4,0,1,23,23,33,Compost,Herbicides
0,2,2,29,60,14,Urea,Fungicides
3,2,1,50,3,78,NPK,Herbicides
2,2,2,98,14,21,NPK,Fungicides
0,3,2,2,33,15,NPK,Fungicides
1,3,0,75,34,68,Organic,Insecticides
3,1,1,66,92,79,Organic,Herbicides
3,4,1,70,71,29,NPK,Herbicides
2,1,0,24,69,55,Organic,Insecticides
1,1,1,78,68,17,Compost,Herbicides
0,3,2,47,89,80,NPK,Fungicides
4,4,1,86,41,96,Urea,Herbicides
3,2,1,48,23,33,Organic,Herbicides
3,4,0,47,59,62,Compost,Insecticides
2,2,1,82,25,49,Organic,Herbicides
3,3,1,67,50,60,NPK,Herbicides
4,1,0,38,77,48,Organic,Insecticides
3,3,0,92,43,82,Urea,Insecticides
1,2,1,29,75,49,Organic,Herbicides
1,3,1,2,17,91,Urea,Herbicides
2,4,1,24,26,15,Compost,Herbicides
4,1,0,2,65,56,NPK,Insecticides
1,4,1,45,83,12,Compost,Herbicides
1,3,1,16,73,42,Urea,Herbicides
1,4,2,69,18,72,Organic,Fungicides
4,3,2,46,9,8,NPK,Fungicides
0,3,1,54,63,54,Compost,Herbicides
1,4,0,94,38,82,NPK,Insecticides
1,0,2,62,75,84,NPK,Fungicides
2,1,2,32,67,86,Compost,Fungicides
1,4,1,30,5,12,Compost,Herbicides
4,3,1,23,47,95,Compost,Herbicides
1,3,0,29,21,34,Compost,Insecticides
0,0,0,32,26,77,Organic,Insecticides
3,4,1,36,63,69,Compost,Herbicides
2,3,0,75,18,73,Organic,Insecticides
0,4,0,32,6,95,Organic,Insecticides
0,2,0,45,46,59,Organic,Insecticides
0,3,0,60,69,1,Compost,Insecticides
0,4,2,55,71,75,Compost,Fungicides
4,2,2,25,31,73,NPK,Fungicides
2,0,2,48,62,45,Compost,Fungicides
2,3,0,63,15,3,Compost,Insecticides
1,3,0,34,41,76,Compost,Insecticides
4,0,2,29,23,70,NPK,Fungicides
0,0,2,60,96,3,Urea,Fungicides
4,2,1,82,60,99,Compost,Herbicides
2,2,1,27,53,3,Urea,Herbicides
1,0,0,2,70,58,Compost,Insecticides
3,3,2,56,33,98,Compost,Fungicides
3,0,2,33,74,3,Compost,Fungicides
4,0,0,25,3,73,NPK,Insecticides
0,2,2,91,26,53,Compost,Fungicides
4,2,1,10,7,45,Urea,Herbicides
1,2,0,11,12,73,Urea,Insecticides
4,1,0,23,21,62,NPK,Insecticides
2,2,2,62,67,65,Organic,Fungicides
3,0,1,1,19,61,Organic,Herbicides
0,2,2,80,30,61,Organic,Fungicides
3,4,1,92,61,43,NPK,Herbicides
1,3,0,24,12,16,Urea,Insecticides
2,4,2,61,25,17,Compost,Fungicides
3,0,1,11,67,94,Compost,Herbicides
2,0,1,55,93,7,Compost,Herbicides
4,2,1,74,26,80,NPK,Herbicides
2,1,1,41,14,48,Urea,Herbicides
0,4,1,3,95,76,Compost,Herbicides
0,2,2,41,36,31,Urea,Fungicides
2,0,1,79,97,23,Compost,Herbicides
2,3,1,10,98,35,Urea,Herbicides
3,3,0,43,81,41,Compost,Insecticides
0,3,2,98,25,25,Organic,Fungicides
2,2,0,98,71,72,NPK,Insecticides
3,4,0,78,36,31,NPK,Insecticides
2,2,2,76,15,87,NPK,Fungicides
2,2,2,39,53,31,NPK,Fungicides
1,3,2,96,78,1,Compost,Fungicides
4,3,0,48,3,7,Urea,Insecticides
4,0,2,81,12,90,Urea,Fungicides
1,0,0,10,11,4,Organic,Insecticides
0,1,0,86,38,15,Organic,Insecticides
1,2,1,53,45,77,Compost,Herbicides
4,2,0,73,17,53,Organic,Insecticides
0,0,2,48,82,55,Compost,Fungicides
1,4,0,84,62,25,Urea,Insecticides
3,1,0,87,46,22,Urea,Insecticides
2,1,2,29,20,44,Urea,Fungicides
3,0,2,94,64,47,NPK,Fungicides
2,3,1,76,45,31,Urea,Herbicides
0,3,2,45,32,13,Compost,Fungicides
2,2,0,30,31,20,Compost,Insecticides
2,3,1,7,7,69,Compost,Herbicides
4,0,2,48,96,17,Compost,Fungicides
1,2,1,51,57,62,Organic,Herbicides
4,3,0,50,55,0,Urea,Insecticides
2,2,1,5,96,37,NPK,Herbicides
1,0,2,87,23,79,Urea,Fungicides
4,1,1,70,71,65,Compost,Herbicides
4,3,1,7,34,5,NPK,Herbicides
2,3,0,10,1,89,Organic,Insecticides
1,0,1,64,61,60,Organic,Herbicides
0,3,0,7,46,66,Organic,Insecticides
1,2,2,96,12,10,Urea,Fungicides
0,0,0,27,2,40,NPK,Insecticides
2,3,2,36,94,63,Compost,Fungicides
3,3,2,86,26,29,NPK,Fungicides
1,4,1,37,28,90,Organic,Herbicides
1,2,0,8,28,9,Organic,Insecticides
4,3,0,66,35,27,NPK,Insecticides
0,0,2,7,82,3,Organic,Fungicides
1,1,0,62,62,49,NPK,Insecticides
1,0,2,34,22,14,Urea,Fungicides
4,4,2,65,17,82,Organic,Fungicides
3,3,0,51,81,10,Urea,Insecticides
0,4,1,64,97,67,Compost,Herbicides
3,3,1,96,46,92,Urea,Herbicides
4,0,2,34,33,76,Compost,Fungicides
1,0,2,93,63,17,Compost,Fungicides
3,2,2,83,83,60,Urea,Fungicides
2,2,0,12,22,92,Organic,Insecticides
1,3,1,80,55,39,Organic,Herbicides
1,3,1,70,40,17,Urea,Herbicides
1,0,2,45,72,93,NPK,Fungicides
3,4,2,66,8,3,NPK,Fungicides
3,0,2,76,98,61,Urea,Fungicides
3,3,2,99,92,97,Urea,Fungicides
2,4,1,97,98,97,NPK,Herbicides
3,1,0,62,0,97,Compost,Insecticides
1,2,0,37,74,45,NPK,Insecticides
1,2,2,3,21,20,NPK,Fungicides
2,1,2,96,39,0,Compost,Fungicides
3,2,0,35,99,34,Urea,Insecticides
2,3,2,44,21,13,NPK,Fungicides
4,1,0,42,33,41,Compost,Insecticides
2,1,0,44,47,1,Compost,Insecticides
0,1,1,29,42,21,Urea,Herbicides
0,4,2,45,58,16,Compost,Fungicides
1,1,1,75,39,18,Compost,Herbicides
3,0,1,1,28,57,Compost,Herbicides
3,1,1,42,26,95,Urea,Herbicides
3,1,1,16,33,28,Organic,Herbicides
3,1,2,63,12,86,Compost,Fungicides
1,4,1,83,32,15,Organic,Herbicides
0,3,2,4,54,77,NPK,Fungicides
2,2,2,86,93,85,NPK,Fungicides
0,1,2,38,33,86,NPK,Fungicides
2,4,1,66,17,83,Compost,Herbicides
0,3,2,33,16,39,Compost,Fungicides
2,4,0,23,3,41,Compost,Insecticides
3,4,2,24,5,3,NPK,Fungicides
1,2,1,14,24,45,Urea,Herbicides
2,4,2,5,84,8,Compost,Fungicides
1,1,0,89,36,13,Urea,Insecticides
1,1,0,22,17,21,Compost,Insecticides
2,3,2,33,19,65,Organic,Fungicides
3,1,2,88,60,18,Compost,Fungicides
0,0,0,20,27,66,Organic,Insecticides
0,1,2,16,46,62,Organic,Fungicides
3,4,1,68,25,19,Organic,Herbicides
3,4,2,3,60,29,NPK,Fungicides
3,0,2,89,38,36,NPK,Fungicides
